Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,10.90,11.07,10.83,10.88,154600,10.88
2013-12-30,10.65,10.90,10.54,10.86,197700,10.86
2013-12-27,10.56,10.91,10.54,10.72,165100,10.72
2013-12-26,10.96,10.98,10.45,10.62,154500,10.62
2013-12-24,10.92,10.97,10.80,10.85,40900,10.85
2013-12-23,10.64,11.02,10.64,10.99,153700,10.99
2013-12-20,10.58,10.76,10.50,10.62,248300,10.62
2013-12-19,10.63,10.80,10.50,10.50,126900,10.50
2013-12-18,10.70,11.13,10.50,10.74,167600,10.74
2013-12-17,11.27,11.36,10.55,10.71,220500,10.71
2013-12-16,12.00,12.10,11.13,11.28,238900,11.28
2013-12-13,12.17,12.17,11.94,11.98,143900,11.98
2013-12-12,12.23,12.35,11.95,12.08,218800,12.08
2013-12-11,12.34,12.81,12.01,12.16,407400,12.16
2013-12-10,12.57,12.57,12.09,12.34,94700,12.34
2013-12-09,12.60,12.61,12.33,12.41,72300,12.41
2013-12-06,12.42,12.60,12.22,12.51,188900,12.51
2013-12-05,12.31,12.42,12.19,12.32,69100,12.32
2013-12-04,12.31,12.49,12.20,12.28,46500,12.28
2013-12-03,12.46,12.46,12.12,12.21,105000,12.21
2013-12-02,12.53,12.65,12.36,12.40,193200,12.40
2013-11-29,12.68,12.68,12.44,12.49,74000,12.49
2013-11-27,12.61,12.73,12.47,12.50,215200,12.50
2013-11-26,12.51,12.65,12.47,12.60,163500,12.60
2013-11-25,12.64,12.80,12.36,12.41,121800,12.41
2013-11-22,12.60,12.77,12.42,12.50,223300,12.50
2013-11-21,12.55,13.00,12.38,12.57,120600,12.57
2013-11-20,12.20,12.65,12.16,12.43,114300,12.43
2013-11-19,12.16,12.22,11.92,12.13,221500,12.13
2013-11-18,12.06,12.40,11.99,12.08,235900,12.08
2013-11-15,12.60,13.28,11.66,12.00,790400,12.00
2013-11-14,12.64,12.77,12.35,12.50,94900,12.50
2013-11-13,12.36,12.80,12.36,12.60,154400,12.60
2013-11-12,12.16,12.57,11.97,12.48,61800,12.48
2013-11-11,12.29,12.48,12.15,12.25,62200,12.25
2013-11-08,11.99,12.29,11.78,12.28,124000,12.28
2013-11-07,12.27,12.42,11.75,11.93,189900,11.93
2013-11-06,12.74,12.81,12.14,12.23,199400,12.23
2013-11-05,12.89,12.89,12.49,12.61,126000,12.61
2013-11-04,13.13,13.13,12.34,12.71,199600,12.71
2013-11-01,12.66,13.11,11.91,12.71,464400,12.71
2013-10-31,14.08,14.20,13.37,13.81,260200,13.81
2013-10-30,14.53,15.12,13.98,14.16,518900,14.16
2013-10-29,15.71,15.79,14.37,14.47,1575800,14.47
2013-10-28,12.80,17.17,12.54,15.50,858100,15.50
2013-10-25,12.90,13.03,12.52,12.76,109600,12.76
2013-10-24,12.69,13.05,12.69,12.84,187300,12.84
2013-10-23,12.95,13.04,12.61,12.72,152200,12.72
2013-10-22,12.19,13.04,12.17,12.91,264700,12.91
2013-10-21,12.73,12.73,12.00,12.17,283000,12.17
2013-10-18,12.98,13.10,12.55,12.67,267400,12.67
2013-10-17,12.58,12.95,12.55,12.92,198500,12.92
2013-10-16,12.52,12.90,12.49,12.58,167000,12.58
2013-10-15,12.52,12.80,12.39,12.48,257300,12.48
2013-10-14,12.45,12.54,12.13,12.47,162200,12.47
2013-10-11,12.43,12.81,12.26,12.49,328900,12.49
2013-10-10,12.00,12.70,11.71,12.36,435500,12.36
2013-10-09,12.01,12.01,11.66,11.70,184900,11.70
2013-10-08,12.61,12.63,11.80,11.95,398400,11.95
2013-10-07,13.00,13.13,12.54,12.59,279900,12.59
2013-10-04,13.41,13.41,13.02,13.09,326800,13.09
2013-10-03,14.20,14.29,13.25,13.31,466400,13.31
2013-10-02,14.42,14.82,14.00,14.29,455100,14.29
2013-10-01,14.00,14.60,13.84,14.34,863500,14.34
2013-09-30,13.39,14.09,12.94,13.83,673400,13.83
2013-09-27,13.15,13.56,12.89,13.39,498600,13.39
2013-09-26,13.54,14.19,13.23,13.35,1151600,13.25
2013-09-25,12.28,13.88,12.05,13.25,1253800,13.15
2013-09-24,12.39,12.39,12.08,12.13,208400,12.04
2013-09-23,12.53,12.79,12.30,12.34,278000,12.25
2013-09-20,12.33,13.09,12.31,12.58,793400,12.49
2013-09-19,12.21,12.42,11.91,12.04,425600,11.95
2013-09-18,11.92,12.47,11.80,12.22,442600,12.13
2013-09-17,12.83,12.98,11.85,11.93,789900,11.84
2013-09-16,14.01,14.60,12.70,12.89,1796500,12.79
2013-09-13,11.15,13.03,11.15,12.94,1603000,12.84
2013-09-12,10.89,11.14,10.57,11.00,409700,10.92
2013-09-11,10.66,10.71,10.32,10.39,188400,10.31
2013-09-10,10.66,10.82,10.32,10.69,329600,10.61
2013-09-09,10.34,10.97,10.34,10.62,355600,10.54
2013-09-06,9.71,10.40,9.58,10.28,452800,10.20
2013-09-05,9.36,9.68,9.32,9.66,229400,9.59
2013-09-04,9.04,9.40,8.91,9.37,327700,9.30
2013-09-03,9.30,9.48,8.88,8.95,426500,8.88
2013-08-30,9.03,9.50,9.03,9.23,355000,9.16
2013-08-29,8.69,9.00,8.69,8.99,79700,8.92
2013-08-28,8.74,8.88,8.65,8.70,153400,8.63
2013-08-27,9.09,9.14,8.72,8.72,214700,8.65
2013-08-26,9.15,9.18,9.08,9.15,109400,9.08
2013-08-23,9.30,9.30,9.06,9.17,206700,9.10
2013-08-22,9.02,9.28,9.02,9.22,128800,9.15
2013-08-21,9.29,9.29,8.94,9.00,178900,8.93
2013-08-20,9.31,9.43,9.15,9.30,305900,9.23
2013-08-19,9.85,9.92,9.30,9.31,275100,9.24
2013-08-16,10.58,10.84,9.79,9.89,318200,9.82
2013-08-15,10.76,10.87,10.55,10.63,201000,10.55
2013-08-14,11.04,11.04,10.82,10.84,117500,10.76
2013-08-13,10.97,11.08,10.81,10.98,249300,10.90
2013-08-12,10.72,10.99,10.64,10.93,211100,10.85
2013-08-09,10.97,10.99,10.64,10.72,216700,10.64
2013-08-08,11.23,11.28,11.00,11.02,131100,10.94
2013-08-07,11.43,11.49,11.10,11.20,144800,11.12
2013-08-06,11.36,11.63,11.25,11.47,176000,11.38
2013-08-05,11.49,11.57,11.09,11.53,275500,11.44
2013-08-02,12.97,13.00,10.93,11.09,1257400,11.01
2013-08-01,14.07,14.30,13.91,14.20,153300,14.09
2013-07-31,13.94,14.33,13.83,14.01,208300,13.91
2013-07-30,13.96,14.12,13.80,13.94,134800,13.84
2013-07-29,14.09,14.10,13.84,13.90,89800,13.80
2013-07-26,14.13,14.17,13.86,14.09,93300,13.98
2013-07-25,13.81,14.24,13.80,14.18,170500,14.07
2013-07-24,14.35,14.36,13.72,13.85,188700,13.75
2013-07-23,14.33,14.50,14.01,14.34,140400,14.23
2013-07-22,14.49,14.66,14.29,14.34,175400,14.23
2013-07-19,14.67,14.67,14.29,14.41,109300,14.30
2013-07-18,14.86,15.21,14.55,14.71,196200,14.60
2013-07-17,15.28,15.39,14.76,14.81,97500,14.70
