Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,12.48,12.71,12.34,12.41,168400,12.41
2013-12-30,12.35,12.53,12.21,12.49,95800,12.49
2013-12-27,12.58,12.58,12.22,12.37,98200,12.37
2013-12-26,12.64,12.80,12.45,12.55,65200,12.55
2013-12-24,12.55,12.79,12.46,12.59,101200,12.59
2013-12-23,12.32,12.80,12.32,12.55,181700,12.55
2013-12-20,12.09,12.66,12.09,12.28,499600,12.28
2013-12-19,12.33,12.43,12.05,12.08,168100,12.08
2013-12-18,12.67,12.75,12.21,12.25,161900,12.25
2013-12-17,12.31,12.69,12.05,12.62,153800,12.62
2013-12-16,12.61,12.76,12.26,12.29,181100,12.29
2013-12-13,12.67,12.90,12.53,12.56,159600,12.56
2013-12-12,12.70,12.83,12.43,12.67,135100,12.67
2013-12-11,13.44,13.53,12.63,12.70,167500,12.70
2013-12-10,13.12,13.54,13.06,13.45,225400,13.45
2013-12-09,12.95,13.15,12.93,13.12,185300,13.12
2013-12-06,12.77,13.17,12.58,12.90,300500,12.90
2013-12-05,12.63,12.71,12.21,12.60,237800,12.60
2013-12-04,12.67,12.79,12.20,12.66,199700,12.66
2013-12-03,12.56,12.87,12.38,12.70,235000,12.70
2013-12-02,12.28,12.91,12.11,12.61,491700,12.61
2013-11-29,12.55,12.64,12.32,12.35,83300,12.35
2013-11-27,12.53,12.75,12.40,12.51,210100,12.51
2013-11-26,12.33,12.63,12.23,12.49,184800,12.49
2013-11-25,12.62,12.62,12.05,12.29,233900,12.29
2013-11-22,12.00,12.74,11.94,12.70,633900,12.70
2013-11-21,11.62,12.00,11.49,11.96,259500,11.96
2013-11-20,11.45,11.56,11.34,11.56,239200,11.56
2013-11-19,11.21,11.59,11.12,11.41,393300,11.41
2013-11-18,11.06,11.27,10.96,11.20,126400,11.20
2013-11-15,11.24,11.24,10.92,11.02,198500,11.02
2013-11-14,11.02,11.24,10.95,11.19,111500,11.19
2013-11-13,11.01,11.20,10.85,11.02,220100,11.02
2013-11-12,11.11,11.25,10.79,11.13,281600,11.13
2013-11-11,11.21,11.45,11.11,11.14,202900,11.14
2013-11-08,11.01,11.54,11.01,11.27,186300,11.27
2013-11-07,11.24,11.28,10.82,11.01,286600,11.01
2013-11-06,10.71,11.35,10.57,11.15,212800,11.15
2013-11-05,11.84,11.84,10.28,10.77,587200,10.77
2013-11-04,11.72,12.00,11.46,11.95,265700,11.95
2013-11-01,11.42,11.78,11.19,11.70,269500,11.70
2013-10-31,11.65,11.68,11.33,11.42,215700,11.42
2013-10-30,11.85,12.00,11.65,11.66,108100,11.66
2013-10-29,11.72,11.92,11.58,11.86,123600,11.86
2013-10-28,12.06,12.15,11.59,11.70,205100,11.70
2013-10-25,12.20,12.27,11.95,12.08,119800,12.08
2013-10-24,11.92,12.20,11.68,12.15,146600,12.15
2013-10-23,12.03,12.08,11.73,11.93,154800,11.93
2013-10-22,12.05,12.32,11.99,12.09,118700,12.09
2013-10-21,11.89,12.08,11.71,12.04,180100,12.04
2013-10-18,12.11,12.23,11.78,11.91,141600,11.91
2013-10-17,12.18,12.34,11.91,12.05,179100,12.05
2013-10-16,12.24,12.50,12.15,12.23,139300,12.23
