Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,26.42,26.72,25.94,26.00,258800,26.00
2013-12-30,26.15,27.02,25.93,26.48,345600,26.48
2013-12-27,26.55,26.55,25.97,26.18,221200,26.18
2013-12-26,26.23,26.55,26.11,26.41,151500,26.41
2013-12-24,26.37,26.85,26.16,26.40,168200,26.40
2013-12-23,26.64,26.64,25.77,26.35,383100,26.35
2013-12-20,25.88,26.97,25.79,26.37,878700,26.37
2013-12-19,24.78,25.05,24.63,24.72,298000,24.72
2013-12-18,24.45,25.20,24.04,24.89,493400,24.89
2013-12-17,24.44,24.85,24.33,24.39,347700,24.39
2013-12-16,24.49,24.70,24.08,24.46,449800,24.46
2013-12-13,24.25,24.56,24.00,24.44,226400,24.44
2013-12-12,24.41,24.59,24.11,24.21,433400,24.21
2013-12-11,24.47,24.59,24.25,24.44,246100,24.44
2013-12-10,25.18,25.30,24.31,24.41,508900,24.41
2013-12-09,25.48,25.66,25.03,25.20,426600,25.20
2013-12-06,25.25,26.69,25.05,25.57,675800,25.57
2013-12-05,27.18,27.46,25.35,26.24,920900,26.24
2013-12-04,27.32,28.08,27.15,27.29,496100,27.29
2013-12-03,27.52,27.94,27.23,27.53,321600,27.53
2013-12-02,27.68,27.93,27.16,27.56,411400,27.56
2013-11-29,28.04,28.41,27.44,27.77,357500,27.77
2013-11-27,29.35,29.41,27.30,27.89,945200,27.89
2013-11-26,29.86,30.40,29.43,29.47,212000,29.47
2013-11-25,30.02,30.34,29.62,29.93,157100,29.93
2013-11-22,29.92,30.16,29.29,29.85,169200,29.85
2013-11-21,29.81,30.54,29.81,29.96,214400,29.96
2013-11-20,29.59,30.78,29.59,29.81,257600,29.81
2013-11-19,29.86,30.90,29.34,29.47,205000,29.47
2013-11-18,29.88,30.46,29.46,29.94,225000,29.94
2013-11-15,29.43,29.90,29.25,29.90,132500,29.90
2013-11-14,29.46,29.82,29.02,29.56,228500,29.56
2013-11-13,29.25,29.95,29.25,29.57,152300,29.57
2013-11-12,29.24,29.73,29.04,29.37,165500,29.37
2013-11-11,29.61,30.26,29.07,29.37,203800,29.37
2013-11-08,29.10,29.95,28.97,29.58,143000,29.58
2013-11-07,29.43,30.16,28.90,29.10,157500,29.10
2013-11-06,29.60,29.60,28.94,29.19,146800,29.19
2013-11-05,29.18,29.64,28.54,29.46,147800,29.46
2013-11-04,29.55,29.79,29.18,29.46,218100,29.46
2013-11-01,29.81,29.93,29.22,29.51,150300,29.51
2013-10-31,29.14,29.93,28.49,29.64,167200,29.64
2013-10-30,29.56,29.79,28.93,29.18,116800,29.18
2013-10-29,29.45,29.78,29.00,29.47,154400,29.47
2013-10-28,29.16,29.55,29.06,29.48,170200,29.48
2013-10-25,29.25,29.48,28.85,29.06,125900,29.06
2013-10-24,28.60,29.25,28.49,29.20,99100,29.20
2013-10-23,29.00,29.37,28.37,28.58,180000,28.58
2013-10-22,29.20,29.42,28.75,29.16,154000,29.16
2013-10-21,29.83,30.14,29.08,29.19,144600,29.19
2013-10-18,28.97,30.18,28.93,29.91,406900,29.91
2013-10-17,28.40,28.90,28.27,28.84,207800,28.84
2013-10-16,28.40,28.96,28.00,28.61,188900,28.61
2013-10-15,28.19,28.49,27.73,28.26,245800,28.26
2013-10-14,27.86,28.40,27.52,28.37,276600,28.37
